PLAN START DATE;BATCH NO;DFF1;DFF2;DFF3;ITEM CODE;ITEM DESC;STATUS;PLAN QTY BOX;ACTUAL QTY BOX
04/01/2022;F2201000089;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;434
04/01/2022;F2201000090;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;428
04/01/2022;F2201000091;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;421
04/01/2022;F2201000092;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;421
04/01/2022;F2201000093;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;425
04/01/2022;F2201000094;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;428
04/01/2022;F2201000095;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;433
04/01/2022;F2201000096;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;424
04/01/2022;F2201000097;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;422
04/01/2022;F2201000098;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;424
04/01/2022;F2201000099;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;424
04/01/2022;F2201000100;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;430
04/01/2022;F2201000101;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;429
04/01/2022;F2201000102;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;424
04/01/2022;F2201000103;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;429
04/01/2022;F2201000104;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;428
04/01/2022;F2201000105;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;425
04/01/2022;F2201000106;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;427
04/01/2022;F2201000107;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;417
04/01/2022;F2201000108;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;428
04/01/2022;F2201000109;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;419
04/01/2022;F2201000110;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;444,75
04/01/2022;F2201000111;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;442,5
04/01/2022;F2201000112;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;443
04/01/2022;F2201000113;-;;A;1101558453;NS JERUK NIPIS PLS 4PX40SX11G;Closed;431,25;445
03/01/2022;F2201000156;-;;A;1101580453;NS KELAPA MUDA PLS 4PX40SX11G;Closed;460;456
03/01/2022;F2201000157;-;;A;1101580453;NS KELAPA MUDA PLS 4PX40SX11G;Closed;460;456,25
